2022-04-25 14:04:14.297  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] nsionDisbursementMicroserviceApplication : Starting PensionDisbursementMicroserviceApplication using Java 1.8.0_141 on LTIN310484 with PID 16836 (C:\Users\894566\OneDrive - Cognizant\Desktop\FSE0\Pension management\PensionManagementSystem-master\PensionManagementSystem-master\pension-disbursement-microservice\target\classes started by 894566 in C:\Users\894566\OneDrive - Cognizant\Desktop\FSE0\Pension management\PensionManagementSystem-master\PensionManagementSystem-master\pension-disbursement-microservice)
2022-04-25 14:04:22.397  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-04-25 14:04:22.477  WARN [PensionDisburesmentService,,] 16836 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-04-25 14:04:22.929  WARN [PensionDisburesmentService,,] 16836 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-04-25 14:04:26.707  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9083 (http) with context path ''
2022-04-25 14:04:27.252  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-04-25 14:04:27.273  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-04-25 14:04:27.286  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-04-25 14:04:27.686  INFO [PensionDisburesmentService,,] 16836 --- [restartedMain] nsionDisbursementMicroserviceApplication : Started PensionDisbursementMicroserviceApplication in 14.712 seconds (JVM running for 15.517)
2022-05-19 17:53:52.572  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] nsionDisbursementMicroserviceApplication : Starting PensionDisbursementMicroserviceApplication using Java 15.0.2 on sam with PID 13412 (C:\Users\sumit sahane\Downloads\5_6068926584683758823\pension-disbursement-microservice\target\classes started by sumit sahane in C:\Users\sumit sahane\Downloads\5_6068926584683758823\pension-disbursement-microservice)
2022-05-19 17:53:52.592  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] nsionDisbursementMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 17:53:53.104  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 17:53:53.107  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 17:53:59.467  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 17:53:59.496  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 16 ms. Found 0 JPA repository interfaces.
2022-05-19 17:54:00.901  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=5c3759df-218f-38ad-b0df-eaad1930406b
2022-05-19 17:54:04.536  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9083 (http)
2022-05-19 17:54:04.575  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 17:54:04.576  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 17:54:05.040  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 17:54:05.040  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 11929 ms
2022-05-19 17:54:05.405  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-19 17:54:06.159  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-19 17:54:06.183  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:095d2c3b-3239-4584-afc7-46be395ecc58'
2022-05-19 17:54:08.106  WARN [PensionDisburesmentService,,] 13412 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Connect timed out; nested exception is java.net.SocketTimeoutException: Connect timed out}]
2022-05-19 17:54:09.145  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-19 17:54:09.487  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-19 17:54:10.328  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-19 17:54:10.969  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-19 17:54:11.586  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-19 17:54:11.620  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-19 17:54:11.800  WARN [PensionDisburesmentService,,] 13412 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-05-19 17:54:12.774  WARN [PensionDisburesmentService,,] 13412 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-19 17:54:18.872  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9083 (http) with context path ''
2022-05-19 17:54:19.279  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-19 17:54:19.370  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-19 17:54:19.409  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-19 17:54:19.958  INFO [PensionDisburesmentService,,] 13412 --- [restartedMain] nsionDisbursementMicroserviceApplication : Started PensionDisbursementMicroserviceApplication in 30.093 seconds (JVM running for 33.269)
2022-05-19 18:52:43.193  INFO [PensionDisburesmentService,,] 13412 --- [http-nio-9083-exec-2] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-19 18:52:43.201  INFO [PensionDisburesmentService,,] 13412 --- [http-nio-9083-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-19 18:52:43.290  INFO [PensionDisburesmentService,,] 13412 --- [http-nio-9083-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 88 ms
2022-05-19 18:52:43.881  INFO [PensionDisburesmentService,60ee7040d24d3bbf,c7ec194f39599c64] 13412 --- [http-nio-9083-exec-2] c.c.c.PensionerDisbrusmentConroller      : STARTED - getPensionDisbursement
2022-05-19 18:52:44.012  INFO [PensionDisburesmentService,60ee7040d24d3bbf,c7ec194f39599c64] 13412 --- [http-nio-9083-exec-2] c.c.service.PensionDisbrusmentService    : STARTED - statusCode
2022-05-19 18:52:44.012  INFO [PensionDisburesmentService,60ee7040d24d3bbf,c7ec194f39599c64] 13412 --- [http-nio-9083-exec-2] c.c.service.PensionDisbrusmentService    : STARTED - inputBankCharge
2022-05-19 18:52:44.013  INFO [PensionDisburesmentService,60ee7040d24d3bbf,c7ec194f39599c64] 13412 --- [http-nio-9083-exec-2] c.c.service.PensionDisbrusmentService    : END - inputBankCharge - private - false
2022-05-19 18:52:44.013  INFO [PensionDisburesmentService,60ee7040d24d3bbf,c7ec194f39599c64] 13412 --- [http-nio-9083-exec-2] c.c.service.PensionDisbrusmentService    : END - statusCode - fail
2022-05-19 18:52:44.017  INFO [PensionDisburesmentService,60ee7040d24d3bbf,c7ec194f39599c64] 13412 --- [http-nio-9083-exec-2] c.c.c.PensionerDisbrusmentConroller      : END - getPensionDisbursement
2022-05-19 18:53:03.647  INFO [PensionDisburesmentService,ef630614ad1f6e7f,67385e4386762af6] 13412 --- [http-nio-9083-exec-1] c.c.c.PensionerDisbrusmentConroller      : STARTED - getPensionDisbursement
2022-05-19 18:53:03.717  INFO [PensionDisburesmentService,ef630614ad1f6e7f,67385e4386762af6] 13412 --- [http-nio-9083-exec-1] c.c.service.PensionDisbrusmentService    : STARTED - statusCode
2022-05-19 18:53:03.718  INFO [PensionDisburesmentService,ef630614ad1f6e7f,67385e4386762af6] 13412 --- [http-nio-9083-exec-1] c.c.service.PensionDisbrusmentService    : STARTED - inputBankCharge
2022-05-19 18:53:03.718  INFO [PensionDisburesmentService,ef630614ad1f6e7f,67385e4386762af6] 13412 --- [http-nio-9083-exec-1] c.c.service.PensionDisbrusmentService    : END - inputBankCharge - private - true
2022-05-19 18:53:03.719  INFO [PensionDisburesmentService,ef630614ad1f6e7f,67385e4386762af6] 13412 --- [http-nio-9083-exec-1] c.c.service.PensionDisbrusmentService    : STARTED - calculatePension
2022-05-19 18:53:03.719  INFO [PensionDisburesmentService,ef630614ad1f6e7f,67385e4386762af6] 13412 --- [http-nio-9083-exec-1] c.c.service.PensionDisbrusmentService    : END - calculatePension
2022-05-19 18:53:03.720  INFO [PensionDisburesmentService,ef630614ad1f6e7f,67385e4386762af6] 13412 --- [http-nio-9083-exec-1] c.c.service.PensionDisbrusmentService    : END - statusCode - fail
2022-05-19 18:53:03.720  INFO [PensionDisburesmentService,ef630614ad1f6e7f,67385e4386762af6] 13412 --- [http-nio-9083-exec-1] c.c.c.PensionerDisbrusmentConroller      : END - getPensionDisbursement
2022-05-19 18:53:11.349  INFO [PensionDisburesmentService,bebe02b7dfe61d74,1b10eea30cf42111] 13412 --- [http-nio-9083-exec-3] c.c.c.PensionerDisbrusmentConroller      : STARTED - getPensionDisbursement
2022-05-19 18:53:11.388  INFO [PensionDisburesmentService,bebe02b7dfe61d74,1b10eea30cf42111] 13412 --- [http-nio-9083-exec-3] c.c.service.PensionDisbrusmentService    : STARTED - statusCode
2022-05-19 18:53:11.389  INFO [PensionDisburesmentService,bebe02b7dfe61d74,1b10eea30cf42111] 13412 --- [http-nio-9083-exec-3] c.c.service.PensionDisbrusmentService    : STARTED - inputBankCharge
2022-05-19 18:53:11.389  INFO [PensionDisburesmentService,bebe02b7dfe61d74,1b10eea30cf42111] 13412 --- [http-nio-9083-exec-3] c.c.service.PensionDisbrusmentService    : END - inputBankCharge - private - true
2022-05-19 18:53:11.389  INFO [PensionDisburesmentService,bebe02b7dfe61d74,1b10eea30cf42111] 13412 --- [http-nio-9083-exec-3] c.c.service.PensionDisbrusmentService    : STARTED - calculatePension
2022-05-19 18:53:11.389  INFO [PensionDisburesmentService,bebe02b7dfe61d74,1b10eea30cf42111] 13412 --- [http-nio-9083-exec-3] c.c.service.PensionDisbrusmentService    : END - calculatePension
2022-05-19 18:53:11.389  INFO [PensionDisburesmentService,bebe02b7dfe61d74,1b10eea30cf42111] 13412 --- [http-nio-9083-exec-3] c.c.service.PensionDisbrusmentService    : END - statusCode - fail
2022-05-19 18:53:11.390  INFO [PensionDisburesmentService,bebe02b7dfe61d74,1b10eea30cf42111] 13412 --- [http-nio-9083-exec-3] c.c.c.PensionerDisbrusmentConroller      : END - getPensionDisbursement
2022-05-19 18:53:52.578  INFO [PensionDisburesmentService,cb3969451b2d810f,fbc0aeefd95b65cb] 13412 --- [http-nio-9083-exec-4] c.c.c.PensionerDisbrusmentConroller      : STARTED - getPensionDisbursement
2022-05-19 18:53:52.607  INFO [PensionDisburesmentService,cb3969451b2d810f,fbc0aeefd95b65cb] 13412 --- [http-nio-9083-exec-4] c.c.service.PensionDisbrusmentService    : STARTED - statusCode
2022-05-19 18:53:52.609  INFO [PensionDisburesmentService,cb3969451b2d810f,fbc0aeefd95b65cb] 13412 --- [http-nio-9083-exec-4] c.c.service.PensionDisbrusmentService    : STARTED - inputBankCharge
2022-05-19 18:53:52.610  INFO [PensionDisburesmentService,cb3969451b2d810f,fbc0aeefd95b65cb] 13412 --- [http-nio-9083-exec-4] c.c.service.PensionDisbrusmentService    : END - inputBankCharge - private - true
2022-05-19 18:53:52.611  INFO [PensionDisburesmentService,cb3969451b2d810f,fbc0aeefd95b65cb] 13412 --- [http-nio-9083-exec-4] c.c.service.PensionDisbrusmentService    : STARTED - calculatePension
2022-05-19 18:53:52.611  INFO [PensionDisburesmentService,cb3969451b2d810f,fbc0aeefd95b65cb] 13412 --- [http-nio-9083-exec-4] c.c.service.PensionDisbrusmentService    : END - calculatePension
2022-05-19 18:53:52.611  INFO [PensionDisburesmentService,cb3969451b2d810f,fbc0aeefd95b65cb] 13412 --- [http-nio-9083-exec-4] c.c.service.PensionDisbrusmentService    : END - statusCode - fail
2022-05-19 18:53:52.612  INFO [PensionDisburesmentService,cb3969451b2d810f,fbc0aeefd95b65cb] 13412 --- [http-nio-9083-exec-4] c.c.c.PensionerDisbrusmentConroller      : END - getPensionDisbursement
2022-05-19 18:54:41.488  INFO [PensionDisburesmentService,0100abc7b7ac9929,5acf10256a9e6a61] 13412 --- [http-nio-9083-exec-6] c.c.c.PensionerDisbrusmentConroller      : STARTED - getPensionDisbursement
2022-05-19 18:54:41.530  INFO [PensionDisburesmentService,0100abc7b7ac9929,5acf10256a9e6a61] 13412 --- [http-nio-9083-exec-6] c.c.service.PensionDisbrusmentService    : STARTED - statusCode
2022-05-19 18:54:41.530  INFO [PensionDisburesmentService,0100abc7b7ac9929,5acf10256a9e6a61] 13412 --- [http-nio-9083-exec-6] c.c.service.PensionDisbrusmentService    : STARTED - inputBankCharge
2022-05-19 18:54:41.531  INFO [PensionDisburesmentService,0100abc7b7ac9929,5acf10256a9e6a61] 13412 --- [http-nio-9083-exec-6] c.c.service.PensionDisbrusmentService    : END - inputBankCharge - private - true
2022-05-19 18:54:41.531  INFO [PensionDisburesmentService,0100abc7b7ac9929,5acf10256a9e6a61] 13412 --- [http-nio-9083-exec-6] c.c.service.PensionDisbrusmentService    : STARTED - calculatePension
2022-05-19 18:54:41.531  INFO [PensionDisburesmentService,0100abc7b7ac9929,5acf10256a9e6a61] 13412 --- [http-nio-9083-exec-6] c.c.service.PensionDisbrusmentService    : END - calculatePension
2022-05-19 18:54:41.531  INFO [PensionDisburesmentService,0100abc7b7ac9929,5acf10256a9e6a61] 13412 --- [http-nio-9083-exec-6] c.c.service.PensionDisbrusmentService    : END - statusCode - fail
2022-05-19 18:54:41.531  INFO [PensionDisburesmentService,0100abc7b7ac9929,5acf10256a9e6a61] 13412 --- [http-nio-9083-exec-6] c.c.c.PensionerDisbrusmentConroller      : END - getPensionDisbursement
2022-05-19 18:55:24.310  INFO [PensionDisburesmentService,4a0b96154a95b399,c291651ea44b537f] 13412 --- [http-nio-9083-exec-5] c.c.c.PensionerDisbrusmentConroller      : STARTED - getPensionDisbursement
2022-05-19 18:55:24.352  INFO [PensionDisburesmentService,4a0b96154a95b399,c291651ea44b537f] 13412 --- [http-nio-9083-exec-5] c.c.service.PensionDisbrusmentService    : STARTED - statusCode
2022-05-19 18:55:24.352  INFO [PensionDisburesmentService,4a0b96154a95b399,c291651ea44b537f] 13412 --- [http-nio-9083-exec-5] c.c.service.PensionDisbrusmentService    : STARTED - inputBankCharge
2022-05-19 18:55:24.353  INFO [PensionDisburesmentService,4a0b96154a95b399,c291651ea44b537f] 13412 --- [http-nio-9083-exec-5] c.c.service.PensionDisbrusmentService    : END - inputBankCharge - private - true
2022-05-19 18:55:24.353  INFO [PensionDisburesmentService,4a0b96154a95b399,c291651ea44b537f] 13412 --- [http-nio-9083-exec-5] c.c.service.PensionDisbrusmentService    : STARTED - calculatePension
2022-05-19 18:55:24.353  INFO [PensionDisburesmentService,4a0b96154a95b399,c291651ea44b537f] 13412 --- [http-nio-9083-exec-5] c.c.service.PensionDisbrusmentService    : END - calculatePension
2022-05-19 18:55:24.353  INFO [PensionDisburesmentService,4a0b96154a95b399,c291651ea44b537f] 13412 --- [http-nio-9083-exec-5] c.c.service.PensionDisbrusmentService    : END - statusCode - fail
2022-05-19 18:55:24.353  INFO [PensionDisburesmentService,4a0b96154a95b399,c291651ea44b537f] 13412 --- [http-nio-9083-exec-5] c.c.c.PensionerDisbrusmentConroller      : END - getPensionDisbursement
2022-05-19 18:56:21.920  INFO [PensionDisburesmentService,ccd22144ee664be0,6b383039ed64a04f] 13412 --- [http-nio-9083-exec-8] c.c.c.PensionerDisbrusmentConroller      : STARTED - getPensionDisbursement
2022-05-19 18:56:21.967  INFO [PensionDisburesmentService,ccd22144ee664be0,6b383039ed64a04f] 13412 --- [http-nio-9083-exec-8] c.c.service.PensionDisbrusmentService    : STARTED - statusCode
2022-05-19 18:56:21.968  INFO [PensionDisburesmentService,ccd22144ee664be0,6b383039ed64a04f] 13412 --- [http-nio-9083-exec-8] c.c.service.PensionDisbrusmentService    : STARTED - inputBankCharge
2022-05-19 18:56:21.968  INFO [PensionDisburesmentService,ccd22144ee664be0,6b383039ed64a04f] 13412 --- [http-nio-9083-exec-8] c.c.service.PensionDisbrusmentService    : END - inputBankCharge - private - true
2022-05-19 18:56:21.968  INFO [PensionDisburesmentService,ccd22144ee664be0,6b383039ed64a04f] 13412 --- [http-nio-9083-exec-8] c.c.service.PensionDisbrusmentService    : STARTED - calculatePension
2022-05-19 18:56:21.969  INFO [PensionDisburesmentService,ccd22144ee664be0,6b383039ed64a04f] 13412 --- [http-nio-9083-exec-8] c.c.service.PensionDisbrusmentService    : END - calculatePension
2022-05-19 18:56:21.969  INFO [PensionDisburesmentService,ccd22144ee664be0,6b383039ed64a04f] 13412 --- [http-nio-9083-exec-8] c.c.service.PensionDisbrusmentService    : END - statusCode - fail
2022-05-19 18:56:21.969  INFO [PensionDisburesmentService,ccd22144ee664be0,6b383039ed64a04f] 13412 --- [http-nio-9083-exec-8] c.c.c.PensionerDisbrusmentConroller      : END - getPensionDisbursement
2022-05-19 20:32:15.903  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] nsionDisbursementMicroserviceApplication : Starting PensionDisbursementMicroserviceApplication using Java 15.0.2 on sam with PID 20424 (C:\Users\sumit sahane\Downloads\5_6068926584683758823\pension-disbursement-microservice\target\classes started by sumit sahane in C:\Users\sumit sahane\Downloads\5_6068926584683758823\pension-disbursement-microservice)
2022-05-19 20:32:15.909  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] nsionDisbursementMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 20:32:16.060  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 20:32:16.062  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 20:32:17.901  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 20:32:17.933  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 15 ms. Found 0 JPA repository interfaces.
2022-05-19 20:32:18.514  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=5c3759df-218f-38ad-b0df-eaad1930406b
2022-05-19 20:32:20.246  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9083 (http)
2022-05-19 20:32:20.266  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 20:32:20.266  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 20:32:20.458  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 20:32:20.459  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4396 ms
2022-05-19 20:32:20.601  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-19 20:32:20.927  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-19 20:32:20.940  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:79fe4fd7-de82-492a-bce3-07b5a3bea521'
2022-05-19 20:32:22.076  WARN [PensionDisburesmentService,,] 20424 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Connect timed out; nested exception is java.net.SocketTimeoutException: Connect timed out}]
2022-05-19 20:32:22.697  INFO [PensionDisburesmentService,,] 20424 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
