2022-04-25 14:05:17.494  INFO [PensionerDetailService,,] 5536 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 1.8.0_141 on LTIN310484 with PID 5536 (C:\Users\894566\OneDrive - Cognizant\Desktop\FSE0\Pension management\PensionManagementSystem-master\PensionManagementSystem-master\pensioner-detail-microservice\target\classes started by 894566 in C:\Users\894566\OneDrive - Cognizant\Desktop\FSE0\Pension management\PensionManagementSystem-master\PensionManagementSystem-master\pensioner-detail-microservice)
2022-05-19 17:55:15.177  INFO [PensionerDetailService,,] 12064 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-19 17:55:16.041  INFO [PensionerDetailService,,] 12064 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Started PensionerDetailMicroserviceApplication in 34.86 seconds (JVM running for 37.912)
2022-05-19 18:05:18.331  INFO [PensionerDetailService,,] 12064 --- [http-nio-9081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-19 18:05:18.354  INFO [PensionerDetailService,,] 12064 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-19 18:05:18.446  INFO [PensionerDetailService,,] 12064 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 92 ms
2022-05-19 18:05:18.916  INFO [PensionerDetailService,822fa38e5aea1822,65a5ed63f81faa4f] 12064 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 18:05:18.916  INFO [PensionerDetailService,822fa38e5aea1822,65a5ed63f81faa4f] 12064 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 18:47:58.455  INFO [PensionerDetailService,b50052cbcbfed48d,aa211c1985f7d94e] 12064 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 18:47:58.458  INFO [PensionerDetailService,b50052cbcbfed48d,aa211c1985f7d94e] 12064 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 18:50:19.559  INFO [PensionerDetailService,c478f9963ab71341,96c809e1c1224066] 12064 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 18:50:19.561  INFO [PensionerDetailService,c478f9963ab71341,96c809e1c1224066] 12064 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 18:50:29.193  INFO [PensionerDetailService,8b74fd7e2a3327c7,49e8b21176acbbfe] 12064 --- [http-nio-9081-exec-6] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 18:50:29.194  INFO [PensionerDetailService,8b74fd7e2a3327c7,49e8b21176acbbfe] 12064 --- [http-nio-9081-exec-6] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 18:51:49.728  INFO [PensionerDetailService,2e19c21c42b2dea5,b52d49580f9b4db7] 12064 --- [http-nio-9081-exec-8] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 18:51:49.967  INFO [PensionerDetailService,2e19c21c42b2dea5,b52d49580f9b4db7] 12064 --- [http-nio-9081-exec-8] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 18:52:43.921  INFO [PensionerDetailService,60ee7040d24d3bbf,4dc831232ba7882f] 12064 --- [http-nio-9081-exec-9] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 18:52:43.978  INFO [PensionerDetailService,60ee7040d24d3bbf,4dc831232ba7882f] 12064 --- [http-nio-9081-exec-9] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 18:53:03.652  INFO [PensionerDetailService,ef630614ad1f6e7f,6b10dda9617fe07e] 12064 --- [http-nio-9081-exec-10] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 18:53:03.708  INFO [PensionerDetailService,ef630614ad1f6e7f,6b10dda9617fe07e] 12064 --- [http-nio-9081-exec-10] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 18:53:11.355  INFO [PensionerDetailService,bebe02b7dfe61d74,ea2722754cacf94e] 12064 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 18:53:11.384  INFO [PensionerDetailService,bebe02b7dfe61d74,ea2722754cacf94e] 12064 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 18:53:52.585  INFO [PensionerDetailService,cb3969451b2d810f,fd9cae2ab2b1b9c2] 12064 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 18:53:52.605  INFO [PensionerDetailService,cb3969451b2d810f,fd9cae2ab2b1b9c2] 12064 --- [http-nio-9081-exec-2] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 18:54:41.497  INFO [PensionerDetailService,0100abc7b7ac9929,fbac10fefaf90f0f] 12064 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 18:54:41.521  INFO [PensionerDetailService,0100abc7b7ac9929,fbac10fefaf90f0f] 12064 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 18:55:04.458  INFO [PensionerDetailService,fb08cdf22155b607,4a2ba43e58b3ab9a] 12064 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 18:55:04.506  INFO [PensionerDetailService,fb08cdf22155b607,4a2ba43e58b3ab9a] 12064 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 18:55:24.318  INFO [PensionerDetailService,4a0b96154a95b399,6392030d98354850] 12064 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 18:55:24.349  INFO [PensionerDetailService,4a0b96154a95b399,6392030d98354850] 12064 --- [http-nio-9081-exec-5] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 18:56:21.928  INFO [PensionerDetailService,ccd22144ee664be0,c2623c23c302af76] 12064 --- [http-nio-9081-exec-6] c.c.c.PensionerDetailsController         : STARTED - findByAadhaarNumber
2022-05-19 18:56:21.962  INFO [PensionerDetailService,ccd22144ee664be0,c2623c23c302af76] 12064 --- [http-nio-9081-exec-6] c.c.c.PensionerDetailsController         : END - findByAadhaarNumber
2022-05-19 20:32:43.204  INFO [PensionerDetailService,,] 8940 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 15.0.2 on sam with PID 8940 (C:\Users\sumit sahane\Downloads\5_6068926584683758823\pensioner-detail-microservice\target\classes started by sumit sahane in C:\Users\sumit sahane\Downloads\5_6068926584683758823\pensioner-detail-microservice)
2022-05-19 20:32:43.219  INFO [PensionerDetailService,,] 8940 --- [restartedMain] c.PensionerDetailMicroserviceApplication : No active profile set, falling back to default profiles: default
2022-05-19 20:32:43.340  INFO [PensionerDetailService,,] 8940 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-05-19 20:32:43.341  INFO [PensionerDetailService,,] 8940 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-05-19 20:32:45.188  INFO [PensionerDetailService,,] 8940 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-05-19 20:32:45.295  INFO [PensionerDetailService,,] 8940 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 94 ms. Found 1 JPA repository interfaces.
2022-05-19 20:32:46.383  INFO [PensionerDetailService,,] 8940 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=85095809-9643-344a-ba36-0073e376c2c7
2022-05-19 20:32:47.994  INFO [PensionerDetailService,,] 8940 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9081 (http)
2022-05-19 20:32:48.014  INFO [PensionerDetailService,,] 8940 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-05-19 20:32:48.015  INFO [PensionerDetailService,,] 8940 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2022-05-19 20:32:48.255  INFO [PensionerDetailService,,] 8940 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-05-19 20:32:48.255  INFO [PensionerDetailService,,] 8940 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4913 ms
2022-05-19 20:32:48.394  INFO [PensionerDetailService,,] 8940 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-05-19 20:32:48.763  INFO [PensionerDetailService,,] 8940 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-05-19 20:32:48.773  INFO [PensionerDetailService,,] 8940 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2022-05-19 20:32:49.887  WARN [PensionerDetailService,,] 8940 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Connect timed out; nested exception is java.net.SocketTimeoutException: Connect timed out}]
2022-05-19 20:32:50.371  INFO [PensionerDetailService,,] 8940 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-05-19 20:32:50.612  INFO [PensionerDetailService,,] 8940 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2022-05-19 20:32:51.047  INFO [PensionerDetailService,,] 8940 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-05-19 20:32:51.243  INFO [PensionerDetailService,,] 8940 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-05-19 20:32:52.129  INFO [PensionerDetailService,,] 8940 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-05-19 20:32:52.140  INFO [PensionerDetailService,,] 8940 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-05-19 20:32:52.199  WARN [PensionerDetailService,,] 8940 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
2022-05-19 20:32:52.763  INFO [PensionerDetailService,,] 8940 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : STARTED - savePensionerData
2022-05-19 20:32:52.934  INFO [PensionerDetailService,,] 8940 --- [restartedMain] c.c.service.PensionarDetailServiceImpl   : END - savePensionerData
2022-05-19 20:32:53.187  WARN [PensionerDetailService,,] 8940 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-05-19 20:32:55.198  INFO [PensionerDetailService,,] 8940 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 9081 (http) with context path ''
2022-05-19 20:32:55.327  INFO [PensionerDetailService,,] 8940 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2022-05-19 20:32:55.350  INFO [PensionerDetailService,,] 8940 --- [restartedMain] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2022-05-19 20:32:55.362  INFO [PensionerDetailService,,] 8940 --- [restartedMain] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2022-05-19 20:32:55.570  INFO [PensionerDetailService,,] 8940 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Started PensionerDetailMicroserviceApplication in 13.274 seconds (JVM running for 14.539)
2022-05-19 20:35:25.982  INFO [PensionerDetailService,,] 8940 --- [http-nio-9081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-19 20:35:25.987  INFO [PensionerDetailService,,] 8940 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-05-19 20:35:26.024  INFO [PensionerDetailService,,] 8940 --- [http-nio-9081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 37 ms
2022-05-19 20:35:26.145  INFO [PensionerDetailService,01f7813dea7be152,a73b779ba373784b] 8940 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 20:35:26.151  INFO [PensionerDetailService,01f7813dea7be152,a73b779ba373784b] 8940 --- [http-nio-9081-exec-1] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 21:13:10.041  INFO [PensionerDetailService,0977d53e82bdfe46,22ff989a2bc075b7] 8940 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
2022-05-19 21:13:10.047  INFO [PensionerDetailService,0977d53e82bdfe46,22ff989a2bc075b7] 8940 --- [http-nio-9081-exec-3] c.c.c.PensionerDetailsController         : END - getAllDetail
2022-05-19 21:13:33.104  INFO [PensionerDetailService,0a192a4ff381c2ea,082ebbc782e16028] 8940 --- [http-nio-9081-exec-4] c.c.c.PensionerDetailsController         : STARTED - getAllDetail
